Step,APP,Action,Reward
0,1,1,-10
1,0,2,-2.7067669173
2,0,2,-2.7067669173
3,3,0,-93.3643333334
4,0,2,-2.7067669173
5,3,0,-93.3643333334
6,0,1,-76.79066666669999
7,0,0,-120
8,0,0,-136.7652666667
9,4,2,-150
10,0,0,-120
11,0,2,-2.7067669173
12,4,1,-100
13,2,2,-100
14,4,2,-150
15,1,1,-10
16,1,1,-10
17,2,1,-100
18,1,2,-10
19,0,1,-76.79066666669999
20,0,0,-136.7652666667
21,4,1,-120
22,0,2,-2.7067669173
23,0,0,-20
24,5,1,-20
25,5,1,-20
26,5,1,-150
27,4,1,-120
28,0,2,-2.7067669173
29,5,2,-3.7593984962
30,1,0,-120
31,0,0,-20
32,5,1,-120
33,0,0,-136.7652666667
34,4,1,-10
35,1,0,-10
36,1,2,-10
37,0,0,-120
38,0,0,-120
39,0,1,-95.097203563
40,0,2,-2.7067669173
41,0,0,-120
42,0,1,-94.3049944274
43,0,2,-4.0013753535
44,4,0,-120
45,0,0,-120
46,0,1,-92.85311503540001
47,4,1,-20
48,5,2,-3.7593984962
49,3,0,-93.3643333334
50,0,2,-2.7067669173
51,0,1,-92.5555312393
52,3,0,-93.3643333334
53,0,2,-2.7067669173
54,0,0,-120
55,0,2,-2.7067669173
56,1,1,-10
57,3,2,-1.5212359590999998
58,0,1,-90.5855256069
59,0,1,-20
60,5,1,-120
61,0,0,-20
62,5,0,-120
63,0,1,-89.56529373800001
64,0,2,-2.7067669173
65,3,1,-89.02514278930002
66,4,0,-20
67,5,2,-3.7593984962
68,0,1,-88.41912147710002
69,4,1,-120
70,0,1,-20
71,5,1,-20
72,5,1,-120
73,0,2,-2.7067669173
74,0,0,-136.7652666667
75,4,2,-150
76,1,1,-10
77,0,0,-20
78,5,1,-120
79,0,0,-120
80,0,0,-120
81,0,2,-2.7067669173
82,0,0,-20
83,5,0,-150
84,4,2,-150
85,4,2,-150
86,5,2,-3.7593984962
87,0,2,-2.7067669173
88,5,0,-10
89,1,0,-120
90,0,0,-100
91,2,0,-120
92,0,1,-94.93988326040002
93,0,2,-2.7067669173
94,0,1,-10
95,1,1,-10
96,0,2,-2.7067669173
97,0,0,-136.7652666667
98,4,0,-120
99,0,1,-90.80306142240002
100,4,2,-150
101,0,0,-100
102,2,1,-100
103,5,1,-20
104,5,2,-3.7593984962
105,0,0,-120
106,0,0,-120
107,0,2,-2.7067669173
108,0,1,-88.40281540520002
109,4,2,-150
110,0,1,-88.18519868660002
111,0,1,-88.20794819170001
112,0,0,-120
113,0,0,-20
114,5,2,-3.7593984962
115,0,1,-10
116,1,0,-120
117,0,0,-120
118,0,1,-86.66010890290002
119,4,2,-150
120,1,2,-10
121,0,2,-2.7067669173
122,5,2,-3.7593984962
123,0,1,-85.64895744530003
124,4,0,-120
125,0,0,-136.7652666667
126,4,1,-120
127,0,1,-94.1336734208
128,0,1,-94.14752050339999
129,0,1,-93.9221881037
130,0,0,-100
131,2,2,-100
132,0,1,-10
133,1,1,-10
134,5,0,-150
135,4,2,-150
136,0,1,-92.75611482240001
137,0,0,-136.7652666667
138,4,1,-150
139,4,1,-20
140,5,2,-3.7593984962
141,0,0,-10
142,1,2,-10
143,0,0,-120
144,0,0,-120
145,0,1,-130.33641328580003
146,3,1,-20
147,5,2,-3.7593984962
148,5,2,-3.7593984962
149,0,1,-120
150,0,1,-129.43292182200005
151,3,1,-20
152,5,0,-120
153,0,2,-2.7067669173
154,4,1,-160.97066666670003
155,3,0,-20
156,5,0,-20
157,5,0,-120
158,0,0,-120
159,0,1,-10
160,1,1,-10
161,1,1,-10
162,0,0,-136.7652666667
163,4,2,-150
164,0,0,-120
165,0,2,-2.7067669173
166,0,0,-100
167,2,1,-100
168,4,2,-150
169,0,0,-120
170,0,1,-120
171,0,2,-2.7067669173
172,0,0,-10
173,1,2,-10
174,4,0,-120
175,0,0,-120
176,0,1,-120
177,0,1,-120
178,0,0,-20
179,5,2,-3.7593984962
180,5,0,-120
181,0,1,-10
182,1,0,-120
183,0,0,-120
184,0,0,-10
185,1,2,-10
186,0,0,-120
187,0,2,-2.7067669173
188,1,2,-10
189,0,0,-120
190,0,2,-2.7067669173
191,0,1,-20
192,5,0,-120
193,0,1,-10
194,1,1,-10
195,0,1,-100
196,2,0,-120
197,0,0,-100
198,2,1,-100
199,3,2,-0.7518796992
200,0,0,-120
201,0,0,-136.7652666667
202,4,1,-120
203,0,1,-120
204,0,2,-2.7067669173
205,0,2,-2.7067669173
206,2,0,-20
207,5,2,-3.7593984962
208,0,1,-119.81315201610002
209,0,1,-119.723919835
210,0,1,-20
211,5,2,-3.7593984962
212,0,1,-20
213,5,1,-120
214,0,0,-120
215,0,0,-10
216,1,1,-10
217,0,1,-10
218,1,0,-10
219,1,2,-10
220,0,0,-136.7652666667
221,3,2,-0.7518796992
222,3,2,-0.7518796992
223,0,0,-120
224,0,0,-10
225,1,0,-150
226,4,2,-150
227,0,0,-120
228,0,1,-112.16935480430004
229,0,0,-120
230,0,0,-120
231,0,2,-2.7067669173
232,2,1,-100
233,5,0,-120
234,0,0,-120
235,0,0,-10
236,1,0,-120
237,0,1,-111.37925969800003
238,0,0,-120
239,0,0,-120
240,0,2,-2.7067669173
241,0,0,-120
242,0,2,-2.7067669173
243,2,0,-120
244,0,2,-2.7067669173
245,5,1,-20
246,5,2,-3.7593984962
247,0,0,-10
248,1,0,-150
249,4,1,-100
250,2,0,-20
251,5,2,-20
252,0,2,-2.7067669173
253,0,0,-120
254,0,2,-2.7067669173
255,0,0,-20
256,5,2,-3.7593984962
257,0,2,-2.7067669173
258,0,1,-20
259,5,1,-120
260,0,2,-2.7067669173
261,0,0,-120
262,0,0,-120
263,0,0,-120
264,0,1,-10
265,1,0,-150
266,4,1,-10
267,1,0,-120
268,0,1,-110.87851619779994
269,0,0,-20
270,5,0,-120
271,0,0,-120
272,0,1,-110.32236013679994
273,0,0,-20
274,5,0,-200
275,3,0,-93.3643333334
276,4,1,-150
277,4,1,-120
278,0,1,-120
279,0,1,-128.83566976379987
280,4,1,-120
281,0,0,-120
282,0,1,-100
283,2,0,-150
284,4,1,-150
285,4,1,-120
286,0,0,-10
287,1,0,-120
288,0,0,-120
289,0,2,-2.7067669173
290,0,2,-2.7067669173
291,0,1,-120
