Step,APP,Action,Reward
0,2,2,-1000
1,0,2,-10.8108108108
2,0,1,-0.8906666666999999
3,0,1,-0.8906666666999999
4,0,2,-10.8108108108
5,0,2,-10.8108108108
6,0,2,-1200
7,0,1,-0.8906666666999999
8,0,1,-0.8906666666999999
9,0,0,-10.8652666667
10,0,2,-10.8108108108
11,4,2,-1500
12,0,0,-10.8652666667
13,0,0,-10.8652666667
14,4,2,-1500
15,0,2,-10.8108108108
16,0,1,-0.8906666666999999
17,4,1,-1.9106666667
18,0,2,-10.8108108108
19,5,1,-1.8373333333000001
20,0,0,-10.8652666667
21,0,2,-10.8108108108
22,0,1,-0.8906666666999999
23,0,0,-10.8652666667
24,0,2,-10.8108108108
25,5,0,-11.8056666666
26,0,0,-10.8652666667
27,0,2,-10.8108108108
28,4,2,-1500
29,0,1,-0.8906666666999999
30,0,2,-14.2839934197
31,0,2,-10.8108108108
32,0,1,-0.8906666666999999
33,0,0,-10.8652666667
34,2,2,-1000
35,5,0,-11.8056666666
36,0,2,-10.8108108108
37,5,2,-15.015015015
38,0,1,-0.8906666666999999
39,0,0,-10.8652666667
40,0,2,-10.8108108108
41,2,0,-19.73
42,0,0,-10.8652666667
43,0,1,-0.8906666666999999
44,0,2,-10.8108108108
45,0,1,-0.8906666666999999
46,0,1,-0.8906666666999999
47,0,2,-18.0869601092
48,4,1,-1.9106666667
49,4,1,-1.9106666667
50,0,2,-10.8108108108
51,2,2,-1000
52,0,2,-17.7274043094
53,0,2,-15.1433606268
54,4,2,-1500
55,5,0,-11.8056666666
56,0,2,-10.8108108108
57,0,0,-10.8652666667
58,0,0,-10.8652666667
59,0,1,-0.8906666666999999
60,0,0,-10.8652666667
61,0,2,-1200
62,0,2,-10.8108108108
63,0,0,-10.8652666667
64,4,1,-1.9106666667
65,0,1,-0.8906666666999999
66,0,2,-10.8108108108
67,0,0,-10.8652666667
68,0,0,-10.8652666667
69,0,0,-10.8652666667
70,0,2,-13.819973963499999
71,0,2,-10.8108108108
72,0,2,-10.8108108108
73,0,2,-10.8108108108
74,0,2,-1200
75,0,0,-10.8652666667
76,0,2,-10.8108108108
77,0,2,-10.8108108108
78,0,0,-10.8652666667
79,0,2,-17.1377238385
80,2,2,-1000
81,0,1,-0.8906666666999999
82,0,2,-10.8108108108
83,0,0,-10.8652666667
84,0,2,-10.8108108108
85,0,0,-10.8652666667
86,0,0,-10.8652666667
87,0,2,-10.8108108108
88,0,2,-11.2118251757
89,0,2,-13.807932575399999
90,0,2,-17.9837982625
91,2,1,-10.070666666700001
92,0,1,-0.8906666666999999
93,0,2,-11.778114825600001
94,0,2,-10.8108108108
95,0,1,-0.8906666666999999
96,0,1,-0.8906666666999999
97,0,0,-10.8652666667
98,2,1,-10.070666666700001
99,0,0,-10.8652666667
