Step,APP,Action,Reward
0,0,0,-136.7652666667
1,0,2,-2.7067669173
2,0,2,-2.7067669173
3,0,2,-2.7067669173
4,0,2,-2.7067669173
5,0,2,-2.7067669173
6,0,1,-76.79066666669999
7,0,2,-2.7067669173
8,0,1,-76.79066666669999
9,4,2,-6.7669172932
10,0,0,-136.7652666667
11,0,1,-76.79066666669999
12,0,1,-76.79066666669999
13,0,2,-2.7067669173
14,0,1,-76.79066666669999
15,0,2,-2.7067669173
16,0,2,-2.7067669173
17,1,0,-677.6076666667
18,0,0,-136.7652666667
19,5,2,-3.7593984962
20,0,2,-2.7067669173
21,0,2,-2.7067669173
22,0,2,-2.7067669173
23,0,2,-2.7067669173
24,0,2,-2.7067669173
25,4,0,-220.9053066667
26,0,0,-136.7652666667
27,0,2,-2.7067669173
28,0,2,-2.7067669173
29,0,2,-2.7067669173
30,0,2,-2.7067669173
31,0,2,-2.7067669173
32,4,1,-160.97066666670003
33,0,2,-2.7067669173
34,0,2,-2.7067669173
35,2,2,-35.3383458647
36,0,2,-2.7067669173
37,0,0,-136.7652666667
38,0,2,-2.7067669173
39,5,1,-166.8373333333
40,4,2,-6.7669172932
41,0,2,-2.7067669173
42,0,2,-2.7067669173
43,0,2,-2.7067669173
44,4,2,-6.7669172932
45,0,1,-76.79066666669999
46,5,2,-3.7593984962
47,0,2,-2.7067669173
48,2,0,-200
49,5,2,-3.7593984962
50,5,0,-226.8056666666
51,0,2,-2.7067669173
52,0,2,-2.7067669173
53,0,2,-2.7067669173
54,0,1,-76.79066666669999
55,0,2,-2.7067669173
56,0,2,-2.7067669173
57,0,2,-2.7067669173
58,4,0,-220.9053066667
59,4,2,-6.7669172932
60,0,2,-2.7067669173
61,0,2,-2.7067669173
62,0,0,-136.7652666667
63,0,1,-76.79066666669999
64,0,2,-2.7067669173
65,0,2,-2.7067669173
66,0,2,-2.7067669173
67,0,2,-2.7067669173
68,0,0,-136.7652666667
69,0,2,-2.7067669173
70,0,2,-2.7067669173
71,0,2,-2.7067669173
72,4,0,-220.9053066667
73,2,0,-911.23
74,0,0,-136.7652666667
75,2,1,-851.5706666667
76,0,0,-136.7652666667
77,0,2,-2.7067669173
78,0,2,-2.7067669173
79,0,0,-136.7652666667
80,0,0,-136.7652666667
81,4,2,-6.7669172932
82,4,2,-6.7669172932
83,4,0,-200
84,5,1,-166.8373333333
85,0,1,-76.79066666669999
86,0,1,-76.79066666669999
87,0,0,-136.7652666667
88,0,0,-136.7652666667
89,0,1,-76.79066666669999
90,0,2,-2.7067669173
91,4,2,-6.7669172932
92,0,2,-2.7067669173
93,0,0,-136.7652666667
94,0,2,-2.7067669173
95,5,0,-200
96,5,2,-3.7593984962
97,0,1,-76.79066666669999
98,5,2,-3.7593984962
99,0,1,-76.79066666669999
100,0,2,-2.7067669173
101,4,1,-160.97066666670003
102,0,2,-2.7067669173
103,0,2,-2.7067669173
104,4,2,-6.7669172932
105,4,2,-6.7669172932
106,5,0,-226.8056666666
107,4,0,-220.9053066667
108,0,1,-76.79066666669999
109,0,2,-2.7067669173
110,0,2,-2.7067669173
111,0,1,-76.79066666669999
112,0,0,-136.7652666667
113,5,0,-226.8056666666
114,0,1,-76.79066666669999
115,0,1,-76.79066666669999
116,0,2,-2.7067669173
117,0,2,-2.7067669173
118,0,2,-2.7067669173
119,0,0,-136.7652666667
120,4,2,-6.7669172932
121,0,0,-136.7652666667
122,0,2,-2.7067669173
123,0,2,-2.7067669173
124,0,2,-2.7067669173
125,0,1,-76.79066666669999
126,0,2,-2.7067669173
127,0,2,-2.7067669173
128,0,2,-2.7067669173
129,0,1,-76.79066666669999
