Step,APP,Action,Reward
0,3,1,-3.3706666667
1,1,0,-72.6076666667
2,2,0,-96.22999999999999
3,2,2,-1000
4,5,2,-15.015015015
5,5,1,-16.8373333333
6,1,0,-72.6076666667
7,5,0,-26.8056666666
8,1,2,-100
9,3,0,-13.364333333400001
10,3,2,-3.003003003
11,1,2,-100
12,5,0,-26.8056666666
13,4,1,-16.3706666667
14,0,0,-17.7652666667
15,5,2,-15.015015015
16,1,0,-72.6076666667
17,2,0,-96.22999999999999
18,0,1,-7.7906666667
19,0,2,-10.8108108108
20,1,0,-72.6076666667
21,0,1,-7.7906666667
22,3,1,-3.3706666667
23,3,2,-3.003003003
24,3,2,-3.003003003
25,1,2,-100
26,3,0,-13.364333333400001
27,1,1,-62.870666666700004
28,0,1,-7.7906666667
29,3,0,-13.364333333400001
30,1,2,-100
31,4,1,-16.3706666667
32,4,0,-26.3053066667
33,1,1,-62.870666666700004
34,2,2,-1000
35,1,1,-62.870666666700004
36,4,2,-1500
37,4,1,-16.3706666667
38,3,0,-13.364333333400001
39,0,1,-7.7906666667
40,4,2,-1500
41,3,2,-3.003003003
42,0,0,-17.7652666667
43,5,2,-15.015015015
44,1,2,-100
45,1,2,-100
46,2,2,-1000
47,1,0,-72.6076666667
48,1,1,-62.870666666700004
49,2,2,-1000
50,5,2,-15.015015015
51,1,2,-100
52,1,2,-100
53,3,2,-15.8624441672
54,1,1,-62.870666666700004
55,3,2,-10.3909962271
56,4,1,-16.3706666667
57,2,2,-1000
58,3,2,-3.003003003
59,2,1,-86.5706666667
60,2,2,-1000
61,0,0,-17.7652666667
62,2,1,-86.5706666667
63,3,1,-16.1046438689
64,0,2,-1200
65,0,1,-16.0841671733
66,2,1,-86.5706666667
67,3,0,-13.364333333400001
68,1,0,-72.6076666667
69,0,1,-55.923709829899984
70,1,2,-100
71,0,2,-10.8108108108
72,4,2,-1500
73,0,1,-55.67613447219998
74,3,0,-13.364333333400001
75,3,1,-55.15275033159998
76,1,0,-72.6076666667
77,4,2,-1500
78,0,1,-54.73804510189998
79,2,2,-1000
80,4,2,-1500
81,3,2,-3.003003003
82,0,1,-54.06462627089998
83,1,0,-72.6076666667
84,1,2,-100
85,3,0,-13.364333333400001
86,5,0,-26.8056666666
87,4,1,-53.348606469199964
88,1,2,-100
89,3,2,-3.003003003
90,4,0,-26.3053066667
91,3,1,-53.57223602679996
92,2,0,-96.22999999999999
93,4,0,-26.3053066667
94,3,1,-53.14313673139996
95,1,2,-100
96,2,0,-96.22999999999999
97,1,1,-62.870666666700004
98,5,0,-26.8056666666
99,4,0,-26.3053066667
100,1,2,-100
101,0,1,-52.369989311299975
102,2,2,-1000
103,2,1,-86.5706666667
104,2,0,-96.22999999999999
105,4,0,-26.3053066667
106,4,1,-51.26948777479997
107,1,0,-72.6076666667
108,3,2,-3.003003003
109,3,2,-3.003003003
110,3,1,-51.18490410589997
111,0,0,-17.7652666667
112,1,2,-100
113,0,2,-10.8108108108
114,3,2,-3.003003003
115,4,1,-49.86369010019996
116,4,0,-26.3053066667
117,3,0,-13.364333333400001
118,1,1,-62.870666666700004
119,3,0,-13.364333333400001
120,4,2,-1500
121,1,0,-72.6076666667
122,1,0,-72.6076666667
123,1,2,-100
124,4,0,-26.3053066667
125,4,1,-49.65190006339997
126,4,0,-26.3053066667
127,1,1,-62.870666666700004
128,3,1,-50.738624735799974
129,3,0,-13.364333333400001
130,5,0,-26.8056666666
131,1,1,-62.870666666700004
132,4,2,-1500
133,1,1,-62.870666666700004
134,2,0,-96.22999999999999
135,5,1,-66.51297329660001
136,4,0,-26.3053066667
137,1,2,-100
138,5,2,-15.015015015
139,2,0,-96.22999999999999
140,4,1,-58.34134507670001
141,4,0,-26.3053066667
142,2,1,-86.5706666667
143,0,0,-17.7652666667
144,1,2,-100
145,2,2,-1000
146,3,0,-13.364333333400001
147,3,0,-13.364333333400001
148,4,2,-1500
149,4,1,-57.570452766900004
150,4,2,-1500
151,0,2,-10.8108108108
152,3,2,-3.003003003
153,5,2,-15.015015015
154,4,1,-56.934394920699994
155,2,1,-86.5706666667
156,1,2,-100
157,1,0,-72.6076666667
158,4,1,-57.367660857999994
159,5,2,-15.015015015
160,5,1,-64.7237269585
161,5,2,-15.015015015
162,0,0,-17.7652666667
163,1,2,-100
164,1,0,-72.6076666667
165,4,0,-26.3053066667
166,0,2,-10.8108108108
167,0,0,-17.7652666667
168,3,0,-13.364333333400001
169,0,0,-17.7652666667
170,5,2,-200
171,1,2,-100
172,1,1,-62.870666666700004
173,0,2,-1200
174,3,2,-9.8240471103
175,1,2,-100
176,1,0,-72.6076666667
177,4,2,-1500
178,5,0,-26.8056666666
179,0,2,-1200
180,0,0,-17.7652666667
181,4,2,-1500
182,1,2,-100
183,0,0,-17.7652666667
184,0,1,-53.337770095699994
185,5,2,-200
186,2,0,-96.22999999999999
187,4,2,-1500
188,4,2,-1500
189,2,1,-86.5706666667
190,5,0,-26.8056666666
191,1,2,-100
192,2,2,-1000
193,1,1,-62.870666666700004
194,2,0,-96.22999999999999
195,5,2,-15.015015015
196,2,2,-1000
197,1,1,-62.870666666700004
198,3,2,-3.003003003
199,0,0,-17.7652666667
200,2,0,-96.22999999999999
201,5,2,-200
202,1,1,-62.870666666700004
203,3,0,-13.364333333400001
204,4,2,-1500
205,0,1,-56.48847325200003
206,4,0,-26.3053066667
207,0,1,-56.515694032200024
208,5,2,-16.839458186999998
209,4,0,-26.3053066667
210,5,2,-200
211,2,1,-86.5706666667
212,0,2,-1200
213,2,2,-1000
214,4,2,-1500
215,4,1,-58.17422090420001
216,1,0,-72.6076666667
217,4,2,-1500
218,1,0,-72.6076666667
219,4,2,-1500
220,4,2,-1500
221,3,2,-7.104945613599999
222,4,1,-57.50199382020002
223,0,0,-17.7652666667
224,1,1,-62.870666666700004
225,0,2,-12.7266453259
226,1,0,-72.6076666667
227,0,0,-17.7652666667
228,4,2,-1500
229,4,2,-1500
230,5,2,-15.015015015
231,2,1,-86.5706666667
232,4,1,-57.53794316060011
233,4,2,-1500
234,1,1,-62.870666666700004
235,2,2,-1000
236,4,2,-1500
237,2,1,-86.5706666667
238,5,2,-15.015015015
239,2,1,-86.5706666667
240,2,2,-1000
241,0,2,-10.8108108108
242,2,1,-86.5706666667
243,4,1,-62.498916251999994
244,0,2,-16.5346104759
245,5,0,-26.8056666666
246,3,2,-3.003003003
247,2,1,-86.5706666667
248,3,0,-13.364333333400001
249,2,1,-86.5706666667
250,2,2,-1000
251,5,0,-26.8056666666
252,2,1,-86.5706666667
253,1,2,-100
254,1,2,-100
