Step,APP,Action,Reward
0,5,1,-16.8373333333
1,5,1,-16.8373333333
2,2,1,-86.5706666667
3,5,1,-16.8373333333
4,0,0,-17.7652666667
5,0,0,-17.7652666667
6,1,2,-100
7,4,0,-26.3053066667
8,1,0,-72.6076666667
9,1,0,-72.6076666667
10,5,2,-15.015015015
11,3,0,-13.364333333400001
12,2,0,-96.22999999999999
13,1,0,-72.6076666667
14,1,0,-72.6076666667
15,5,0,-26.8056666666
16,1,2,-100
17,4,0,-26.3053066667
18,5,2,-15.015015015
19,5,0,-26.8056666666
20,1,1,-62.870666666700004
21,3,0,-13.364333333400001
22,2,0,-96.22999999999999
23,5,2,-15.015015015
24,2,1,-86.5706666667
25,4,0,-26.3053066667
26,2,2,-1000
27,3,1,-3.3706666667
28,3,0,-13.364333333400001
29,2,0,-96.22999999999999
30,4,2,-1500
31,1,1,-62.870666666700004
32,0,2,-10.8108108108
33,3,1,-3.3706666667
34,4,0,-26.3053066667
35,1,1,-62.870666666700004
36,2,2,-1000
37,1,1,-62.870666666700004
38,0,0,-17.7652666667
39,4,0,-26.3053066667
40,0,2,-10.8108108108
41,4,0,-26.3053066667
42,4,0,-26.3053066667
43,1,2,-100
44,1,2,-100
45,2,0,-96.22999999999999
46,4,1,-16.3706666667
47,2,0,-96.22999999999999
48,0,0,-17.7652666667
49,1,0,-72.6076666667
50,0,2,-10.8108108108
51,2,0,-96.22999999999999
52,5,0,-26.8056666666
53,0,2,-10.8108108108
54,1,1,-62.870666666700004
55,0,0,-17.7652666667
56,2,1,-86.5706666667
57,1,0,-72.6076666667
58,3,0,-13.364333333400001
59,0,1,-56.73640558239999
60,4,2,-1500
61,3,1,-56.73445936449999
62,1,1,-62.870666666700004
63,0,0,-17.7652666667
64,1,0,-72.6076666667
65,1,2,-100
66,3,0,-13.364333333400001
67,3,0,-13.364333333400001
68,5,2,-15.015015015
69,3,1,-57.121732514499996
70,1,2,-100
71,4,2,-1500
72,5,0,-26.8056666666
73,4,0,-26.3053066667
74,5,2,-15.015015015
75,2,1,-86.5706666667
76,3,2,-3.003003003
77,3,0,-13.364333333400001
78,1,2,-100
79,0,0,-17.7652666667
80,5,1,-62.29171892620001
81,1,0,-72.6076666667
82,2,1,-86.5706666667
83,5,0,-26.8056666666
84,4,2,-1500
85,2,1,-86.5706666667
86,0,1,-58.085568818000006
87,1,2,-100
88,1,0,-72.6076666667
89,5,2,-15.015015015
90,3,0,-13.364333333400001
91,3,0,-13.364333333400001
92,0,2,-13.043210999399998
93,5,1,-64.04955733610002
94,2,2,-1000
95,5,2,-19.483701622399998
96,5,0,-26.8056666666
97,5,2,-15.015015015
98,4,2,-1500
99,3,0,-13.364333333400001
100,0,0,-17.7652666667
101,2,1,-86.5706666667
102,3,1,-55.80395131270003
103,5,1,-62.52004218340004
104,4,2,-1500
105,5,0,-26.8056666666
106,1,2,-100
107,0,1,-55.695966759700035
108,1,2,-100
109,4,0,-26.3053066667
110,4,2,-1500
111,4,1,-54.78046580330004
112,0,1,-55.34432799690004
113,0,0,-17.7652666667
114,4,1,-54.76555203420004
115,3,1,-55.25366288700004
116,2,0,-96.22999999999999
117,5,0,-26.8056666666
118,5,2,-15.015015015
119,5,1,-61.555759427600044
120,4,2,-1500
121,1,2,-100
122,2,0,-96.22999999999999
123,5,2,-15.015015015
124,4,2,-1500
125,3,0,-13.364333333400001
126,5,0,-26.8056666666
127,0,2,-16.3971514419
128,3,2,-3.003003003
129,2,0,-96.22999999999999
130,3,0,-13.364333333400001
131,2,2,-1000
