Step,APP,Action,Reward
0,0,2,-120
1,0,2,-120
2,0,0,-120
3,0,2,-120
4,0,0,-120
5,0,0,-120
6,0,1,-20
7,5,1,-120
8,0,1,-76.79066666669999
9,0,1,-76.79066666669999
10,0,2,-120
11,0,0,-120
12,0,2,-120
13,0,0,-100
14,2,1,-100
15,0,2,-120
16,0,2,-120
17,0,0,-120
18,0,1,-76.79066666669999
19,0,2,-120
20,0,0,-120
21,0,0,-120
22,0,0,-120
23,0,0,-100
24,2,2,-100
25,0,2,-120
26,0,1,-76.79066666669999
27,0,1,-76.79066666669999
28,0,0,-120
29,0,2,-120
30,4,1,-150
31,4,2,-150
32,2,2,-100
33,0,2,-120
34,0,2,-120
35,0,0,-120
36,0,0,-120
37,0,2,-120
38,2,1,-100
39,2,0,-120
40,0,2,-120
41,0,0,-137.5752666667
42,4,0,-120
43,0,2,-120
44,5,0,-120
45,0,2,-120
46,0,0,-120
47,0,2,-120
48,2,2,-100
49,0,1,-76.79066666669999
50,0,2,-120
51,0,1,-76.79066666669999
52,0,1,-76.79066666669999
53,0,1,-76.79066666669999
54,4,1,-120
55,0,2,-120
56,5,0,-120
57,0,0,-120
58,0,0,-120
59,0,2,-120
60,0,1,-76.79066666669999
61,0,2,-120
62,0,2,-120
63,5,0,-120
64,0,0,-120
65,0,2,-120
66,0,1,-76.79066666669999
67,0,2,-120
68,0,0,-20
69,5,0,-120
70,0,1,-76.79066666669999
71,0,0,-137.5752666667
72,4,0,-120
73,0,0,-10
74,1,1,-10
75,4,2,-150
76,2,0,-120
77,0,0,-120
78,0,0,-120
79,0,2,-120
80,0,0,-120
81,0,0,-120
82,0,1,-76.79066666669999
83,2,2,-100
84,0,0,-137.5752666667
85,4,0,-120
86,0,0,-137.5752666667
87,4,0,-100
88,2,2,-100
89,0,2,-120
90,0,1,-76.79066666669999
91,0,0,-120
92,0,2,-120
93,0,0,-120
94,0,0,-120
95,0,0,-120
96,0,0,-120
97,0,0,-120
98,0,2,-120
99,0,2,-120
100,0,2,-120
101,0,1,-76.79066666669999
102,0,1,-76.79066666669999
103,0,0,-100
104,2,0,-100
105,2,1,-100
106,0,0,-120
107,0,0,-120
108,0,0,-20
109,5,0,-20
110,5,0,-120
111,0,0,-120
112,0,0,-120
113,0,1,-76.79066666669999
114,0,0,-120
115,0,0,-120
116,0,0,-120
117,0,2,-120
118,0,0,-20
119,5,0,-120
120,0,2,-120
121,0,0,-137.5752666667
122,4,0,-120
123,0,1,-10
124,1,1,-10
125,5,0,-100
126,2,2,-100
127,0,0,-120
128,0,0,-20
129,5,2,-20
130,0,0,-20
131,5,1,-120
132,0,0,-120
133,0,0,-120
134,0,0,-120
135,0,2,-120
136,3,1,-60.05058414270001
137,0,1,-76.79066666669999
138,0,0,-120
139,0,1,-76.79066666669999
140,0,2,-120
141,0,0,-120
142,0,2,-120
143,0,2,-120
144,0,2,-120
145,0,0,-20
146,5,0,-120
147,0,2,-120
148,0,0,-120
149,0,1,-76.79066666669999
150,0,2,-120
151,0,0,-120
152,0,2,-120
153,5,0,-120
154,0,1,-76.79066666669999
155,0,2,-120
156,0,1,-76.79066666669999
157,0,0,-120
158,0,0,-120
159,0,1,-76.79066666669999
160,0,0,-137.5752666667
161,4,0,-120
162,0,0,-120
163,0,0,-120
164,0,1,-76.79066666669999
165,0,2,-120
166,0,0,-20
167,5,0,-120
168,0,0,-20
169,5,1,-120
170,0,0,-120
171,0,2,-120
172,0,0,-120
173,0,2,-120
174,0,0,-120
175,0,0,-120
176,0,0,-137.5752666667
177,4,0,-120
178,0,1,-76.79066666669999
179,0,0,-120
180,0,0,-120
181,0,1,-76.79066666669999
182,0,1,-76.79066666669999
183,4,2,-150
184,4,0,-120
185,0,0,-20
186,5,0,-120
187,0,1,-76.79066666669999
188,2,2,-100
189,2,2,-100
190,0,0,-120
191,0,1,-76.79066666669999
192,0,1,-76.79066666669999
193,0,0,-120
194,0,0,-120
195,0,2,-120
196,0,0,-120
197,0,0,-120
198,0,1,-76.79066666669999
199,0,0,-120
200,0,2,-120
201,0,2,-120
202,0,1,-76.79066666669999
203,0,0,-20
204,5,2,-20
205,0,0,-120
206,0,0,-120
207,0,0,-120
208,0,2,-120
209,3,1,-69.4053470491
210,0,0,-137.5752666667
211,4,1,-120
212,0,2,-120
213,0,0,-120
