Step,APP,Action,Reward
0,2,0,-120
1,0,0,-120
2,0,1,-76.79066666669999
3,4,1,-120
4,0,1,-76.79066666669999
5,0,2,-2.7067669173
6,0,2,-2.7067669173
7,0,1,-76.79066666669999
8,0,0,-120
9,0,0,-120
10,0,0,-136.7652666667
11,4,2,-6.7669172932
12,0,1,-76.79066666669999
13,0,0,-120
14,0,2,-2.7067669173
15,5,0,-150
16,4,0,-120
17,0,0,-120
18,0,0,-120
19,0,0,-120
20,0,1,-76.79066666669999
21,4,1,-120
22,0,1,-76.79066666669999
23,0,0,-120
24,0,0,-136.7652666667
25,4,1,-120
26,0,1,-76.79066666669999
27,0,1,-76.79066666669999
28,0,1,-10
29,1,2,-10
30,0,1,-76.79066666669999
31,0,0,-136.7652666667
32,4,2,-6.7669172932
33,0,1,-76.79066666669999
34,3,2,-0.7518796992
35,2,1,-100
36,0,1,-76.79066666669999
37,3,1,-74.41771146619999
38,0,1,-76.79066666669999
39,0,0,-20
40,5,0,-120
41,0,1,-76.79066666669999
42,4,2,-6.7669172932
43,2,1,-100
44,5,1,-10
45,1,2,-10
46,5,0,-120
47,0,1,-76.79066666669999
48,0,1,-76.79066666669999
49,0,0,-136.7652666667
50,3,1,-73.94386096630001
51,0,1,-20
52,5,0,-20
53,5,2,-3.7593984962
54,1,0,-120
55,0,1,-76.79066666669999
56,0,1,-76.79066666669999
57,0,2,-2.7067669173
58,0,2,-2.7067669173
59,0,2,-2.7067669173
60,0,1,-76.79066666669999
61,0,0,-136.7652666667
62,4,1,-100
63,2,2,-100
64,0,2,-2.7067669173
65,0,2,-2.7067669173
66,0,2,-2.7067669173
67,5,2,-4.6987455295
68,0,0,-120
69,0,1,-76.79066666669999
70,2,2,-100
71,0,1,-20
72,5,0,-120
73,0,2,-2.7067669173
74,0,0,-120
75,0,1,-20
76,5,1,-10
77,1,1,-10
78,2,0,-10
79,1,0,-120
80,0,2,-2.7067669173
81,0,0,-120
82,0,2,-2.7067669173
83,0,0,-20
84,5,0,-150
85,4,0,-20
86,5,2,-3.7593984962
87,0,1,-76.79066666669999
88,0,1,-76.79066666669999
89,4,1,-120
90,0,2,-2.7067669173
91,3,2,-0.7518796992
92,0,0,-20
93,5,0,-100
94,2,0,-10
95,1,2,-10
96,4,0,-120
97,0,0,-120
98,0,0,-100
99,2,0,-10
100,1,0,-120
101,0,2,-2.7067669173
102,4,2,-6.7669172932
103,5,0,-120
104,0,0,-120
105,0,2,-2.7067669173
106,0,2,-2.7067669173
107,4,1,-20
108,5,2,-3.7593984962
109,1,2,-10
110,4,1,-120
111,0,0,-120
112,0,1,-86.6031781927
113,0,2,-2.7067669173
114,0,2,-2.7067669173
115,0,1,-85.79321358409999
116,0,1,-85.01887722789999
117,2,2,-100
118,0,0,-120
119,0,2,-2.7067669173
120,4,0,-10
121,1,0,-20
122,5,1,-120
123,0,2,-2.7067669173
124,1,1,-10
125,0,0,-120
126,0,2,-2.7067669173
127,2,1,-100
128,2,0,-120
129,0,1,-96.96215174740001
130,4,2,-6.7669172932
131,0,2,-2.7067669173
132,0,2,-2.7067669173
133,0,0,-10
134,1,1,-10
135,5,0,-120
136,0,2,-2.7067669173
137,0,0,-136.7652666667
138,3,2,-0.7518796992
139,0,2,-3.0348919786
140,0,0,-120
141,0,0,-136.7652666667
142,3,0,-93.3643333334
143,0,0,-20
144,5,2,-3.7593984962
145,0,2,-2.7067669173
146,1,1,-10
147,0,1,-91.60241174200002
148,0,1,-91.70463679320002
149,0,0,-100
150,2,1,-100
151,1,0,-150
152,4,2,-6.7669172932
153,0,1,-90.99227485710003
154,0,0,-136.7652666667
155,4,1,-120
156,0,1,-116.2555228449001
157,0,2,-3.7256546704
158,0,2,-2.7067669173
159,0,2,-2.7067669173
160,0,1,-114.26895165470009
161,0,1,-10
162,1,0,-120
163,0,2,-2.7067669173
164,0,1,-113.7723306601001
165,4,0,-100
166,2,1,-100
167,0,1,-113.42398239720009
168,4,0,-20
169,5,2,-6.4329859084
170,0,2,-2.7067669173
171,0,2,-2.7067669173
172,0,0,-10
173,1,1,-10
174,4,0,-120
175,0,0,-120
176,0,1,-109.96770097970011
177,0,0,-20
178,5,0,-120
179,0,0,-120
180,0,0,-136.7652666667
181,4,1,-10
182,1,0,-10
183,1,1,-10
184,0,2,-2.7067669173
185,0,0,-20
186,5,1,-120
187,0,1,-113.61830204470007
188,4,2,-7.0321635711
189,1,0,-120
190,0,0,-120
191,0,0,-120
192,0,0,-120
193,0,0,-120
194,0,1,-112.96749377920008
195,0,0,-120
196,0,1,-112.80445312000009
197,0,0,-20
198,5,1,-120
199,0,2,-2.7067669173
200,1,0,-120
201,0,2,-2.7067669173
202,0,1,-110.8538389152001
203,0,0,-120
204,0,2,-2.7067669173
205,0,1,-109.9948714627001
206,0,2,-2.7067669173
207,0,2,-2.7067669173
208,0,2,-2.7067669173
209,0,0,-120
210,0,1,-109.16602323290013
211,0,1,-108.98709953480014
212,4,0,-20
213,5,1,-120
214,0,1,-108.51874618030013
215,0,2,-2.7067669173
216,0,1,-108.26473276770014
217,4,1,-10
218,1,0,-10
219,1,0,-100
220,2,0,-20
221,5,2,-3.7593984962
222,0,0,-10
223,1,0,-120
224,0,2,-2.7067669173
225,1,1,-10
226,1,1,-10
227,1,2,-10
228,1,2,-10
229,1,1,-10
230,0,2,-2.7067669173
231,5,2,-3.7593984962
232,1,1,-10
233,0,2,-2.7067669173
234,0,2,-2.7067669173
235,1,0,-20
236,5,0,-100
237,2,0,-120
238,0,2,-2.7067669173
239,2,1,-100
240,0,1,-10
241,1,0,-120
242,0,1,-100.15952907990015
243,0,0,-120
244,0,2,-2.7067669173
245,4,2,-6.7669172932
246,0,2,-2.7067669173
247,0,0,-136.7652666667
248,4,1,-120
249,0,2,-2.7067669173
250,0,1,-107.24781099659998
251,0,0,-120
252,0,1,-107.2308983717
253,3,2,-2.3618688223
254,5,2,-3.7593984962
255,1,2,-10
256,0,2,-6.0010218544
257,4,2,-7.9324222895
258,4,1,-20
259,5,0,-150
260,4,1,-150
261,4,0,-20
262,5,2,-3.7593984962
263,1,2,-10
264,1,1,-10
265,0,1,-119.02885320070004
266,0,2,-2.7067669173
267,0,0,-136.7652666667
268,3,0,-20
269,5,0,-120
270,0,0,-120
271,0,0,-120
272,0,2,-2.7067669173
273,0,2,-2.7067669173
274,1,2,-10
275,0,2,-3.3396687587
276,0,2,-2.7067669173
277,4,0,-120
278,0,2,-2.7067669173
279,1,0,-10
280,1,0,-120
281,0,0,-136.7652666667
282,4,1,-120
283,0,2,-2.7067669173
284,0,0,-20
285,5,1,-120
286,0,0,-100
287,2,0,-120
288,0,2,-2.7067669173
289,0,1,-114.34408226770006
290,0,2,-2.7067669173
291,0,0,-120
292,0,2,-3.8721851672999996
293,0,0,-120
294,0,0,-120
295,0,1,-112.7133806593001
296,0,1,-112.7857846596001
297,0,1,-10
298,1,2,-10
299,0,0,-120
300,0,1,-112.07245435350012
301,3,1,-100
302,2,2,-100
303,4,2,-6.7669172932
304,5,0,-150
305,4,0,-120
306,0,0,-120
307,0,2,-2.7067669173
308,1,0,-120
309,0,2,-2.7067669173
310,2,2,-100
311,2,2,-100
312,1,0,-20
313,5,2,-3.7593984962
314,0,1,-107.38706784510015
315,0,1,-10
316,1,0,-120
317,0,1,-107.16164560530015
318,0,2,-2.7067669173
319,0,0,-20
320,5,1,-120
321,0,2,-2.7067669173
322,0,2,-2.7067669173
323,0,0,-136.7652666667
324,3,0,-93.3643333334
325,0,1,-105.65681642270016
326,4,0,-100
327,2,0,-120
328,0,1,-100
329,2,0,-150
330,4,1,-160.97066666670003
331,3,0,-20
332,5,2,-3.7593984962
333,5,2,-3.7593984962
334,4,2,-6.7669172932
335,0,2,-2.7067669173
336,0,2,-2.7067669173
337,0,1,-114.92296551989995
338,4,2,-6.7669172932
339,1,0,-10
340,1,1,-10
341,0,0,-120
342,0,1,-114.08534715249996
343,4,1,-150
344,4,2,-6.7669172932
345,0,2,-2.7067669173
346,0,0,-10
347,1,2,-10
348,3,1,-120
349,0,0,-136.7652666667
350,4,2,-9.9733592885
351,0,2,-2.7067669173
352,0,2,-7.2467891746
353,5,1,-20
354,5,0,-200
355,3,1,-20
356,5,1,-120
357,0,1,-119.12558925260004
358,0,1,-119.19438546000003
359,0,0,-20
360,5,2,-3.7593984962
361,1,2,-10
362,0,2,-4.2292286508
363,0,0,-120
364,0,0,-120
365,0,1,-117.68752032170002
366,0,1,-117.56989187010001
367,0,0,-10
368,1,0,-120
369,0,1,-116.75404295740003
370,0,2,-2.7067669173
371,4,0,-150
372,4,2,-11.582221463699998
373,0,2,-2.7067669173
374,0,1,-20
375,5,2,-3.7593984962
376,0,0,-20
377,5,2,-3.7593984962
378,5,0,-100
379,2,1,-100
380,0,1,-115.43666304810003
381,0,0,-136.7652666667
382,3,1,-114.82473774320002
383,4,0,-120
384,0,1,-20
385,5,1,-10
386,1,1,-10
387,0,1,-113.50221068750002
388,0,1,-20
389,5,2,-3.7593984962
390,0,0,-120
391,0,1,-100
392,2,2,-100
393,0,2,-2.7067669173
394,0,0,-136.7652666667
395,4,2,-6.7669172932
396,2,0,-20
397,5,1,-10
398,1,0,-120
399,0,1,-10
400,1,0,-20
401,5,0,-150
402,4,0,-120
403,0,0,-120
404,0,1,-107.57810027830004
405,0,2,-2.7067669173
406,3,0,-10
407,1,2,-10
408,4,0,-120
409,0,0,-120
410,0,0,-120
411,0,2,-2.7067669173
412,2,1,-100
413,2,0,-120
414,0,1,-104.20036409220006
415,0,1,-100
416,2,1,-100
417,3,1,-103.68398543750007
418,0,2,-2.7067669173
419,0,1,-103.70628758360007
420,3,0,-93.3643333334
421,4,0,-200
422,3,0,-93.3643333334
423,0,1,-103.02184901260009
424,0,0,-10
425,1,1,-10
426,4,2,-6.7669172932
427,0,2,-2.7067669173
428,5,1,-10
429,1,0,-120
430,0,0,-20
431,5,1,-120
432,0,2,-7.6759867083
433,3,2,-0.7518796992
434,0,1,-101.26014514680006
435,0,1,-101.35656708420007
436,0,0,-136.7652666667
437,4,0,-10
438,1,0,-120
439,0,0,-136.7652666667
440,4,2,-6.7669172932
441,1,1,-10
442,0,0,-10
443,1,2,-10
444,0,2,-2.7067669173
445,0,1,-20
446,5,1,-120
447,0,1,-99.3455802354
448,0,1,-98.10787322070001
449,0,1,-20
450,5,2,-3.7593984962
451,0,0,-120
452,0,2,-4.1098941669
453,4,1,-120
454,0,1,-100.20897256080002
455,0,2,-2.7067669173
456,0,0,-100
457,2,0,-100
458,2,0,-150
459,4,2,-6.7669172932
460,0,2,-2.7067669173
461,0,0,-136.7652666667
462,4,2,-8.3447960052
463,1,2,-10
464,0,1,-98.11865067329998
465,0,0,-120
466,0,1,-97.17542508649998
467,0,0,-120
468,0,0,-120
469,0,2,-2.7067669173
470,4,1,-20
471,5,2,-3.7593984962
472,4,2,-6.7669172932
473,0,1,-104.47612902059981
474,0,1,-104.39569927479982
475,0,2,-2.7067669173
476,0,1,-103.99336413709983
477,0,1,-103.97804925609984
478,0,2,-2.7067669173
479,5,2,-6.1105531411000005
480,0,2,-5.158943556200001
481,1,2,-10
482,5,0,-120
483,0,2,-2.7067669173
484,0,2,-2.7067669173
485,0,1,-102.62601281129986
486,0,2,-4.1358048528
487,1,2,-10
488,0,2,-6.7790685967
489,2,2,-100
490,0,0,-136.7652666667
491,4,2,-6.7669172932
492,3,1,-100
493,2,0,-120
494,0,2,-2.7067669173
495,0,0,-10
496,1,0,-100
497,2,0,-120
498,0,2,-2.7067669173
499,1,1,-10
500,2,0,-120
501,0,2,-2.7067669173
502,0,1,-10
503,1,0,-20
504,5,0,-120
505,0,0,-120
506,0,1,-96.45632691169985
507,0,1,-96.48665115229986
508,2,1,-100
509,3,2,-0.7518796992
510,5,2,-3.7593984962
511,0,2,-3.0783015040999997
512,0,0,-136.7652666667
513,4,1,-120
514,0,2,-2.7067669173
515,0,2,-3.1756571814
516,5,2,-3.7593984962
517,4,0,-120
518,0,2,-3.0404678885999994
519,0,0,-120
520,0,2,-2.7067669173
521,4,0,-120
522,0,1,-95.62813791249985
523,0,1,-95.73268622029985
524,0,1,-95.60096637809986
525,0,2,-2.7067669173
526,0,2,-2.7067669173
527,2,1,-100
528,5,2,-3.7593984962
529,4,2,-7.678791969699999
530,0,2,-2.7067669173
531,0,1,-94.01450285269985
532,0,0,-136.7652666667
533,4,1,-120
534,0,0,-20
535,5,2,-3.8817229386000003
536,0,1,-92.80296170549985
537,0,0,-120
538,0,2,-2.7067669173
539,0,2,-2.7067669173
540,3,0,-93.3643333334
541,0,2,-2.7067669173
542,1,2,-10
543,0,2,-2.7067669173
544,1,2,-10
545,0,1,-88.54048110909986
546,0,2,-2.7727108071
547,0,2,-2.7067669173
548,0,0,-120
549,0,2,-2.7067669173
550,4,2,-7.024355405699999
551,0,2,-4.8692911055
552,2,0,-120
553,0,2,-4.6435398853
554,2,1,-100
555,1,1,-10
556,0,1,-86.7819518803999
557,0,0,-10
558,1,0,-120
559,0,0,-20
560,5,1,-20
561,5,0,-120
562,0,0,-136.7652666667
563,3,1,-90.5122744878
564,0,1,-10
565,1,2,-10
566,4,2,-6.7669172932
567,5,0,-120
568,0,0,-120
569,0,0,-20
570,5,2,-3.7593984962
571,0,1,-88.27230164080001
572,0,2,-2.7067669173
573,5,1,-20
574,5,1,-20
575,5,1,-120
576,0,0,-136.7652666667
577,4,2,-6.7669172932
578,0,0,-120
579,0,1,-98.82242995390001
580,0,0,-20
581,5,2,-3.7593984962
582,0,1,-98.05259416790003
583,0,0,-120
584,0,0,-120
585,0,0,-136.7652666667
586,4,0,-120
587,0,0,-20
588,5,0,-120
