Step,Action,Reward
0,0,0
1,2,-1.0810810811
2,2,-2.7027027027
3,2,-2.7027027027
4,2,-1.5015015015
5,2,-1.0810810811
6,2,-2.7027027027
7,2,-1.0810810811
8,2,-1.0810810811
9,1,-76.79066666669999
10,2,-1.0810810811
11,0,0
12,2,-1.0810810811
13,2,-1.0810810811
14,0,0
15,2,-1.0810810811
16,2,-1.0810810811
17,2,-1.8769188511000001
18,0,0
19,2,-1.0810810811
20,2,-1.0810810811
21,2,-14.1141141141
22,2,-2.7027027027
23,2,-1.0810810811
24,0,0
25,2,-1.6310185215000002
26,2,-1.5015015015
27,2,-1.0810810811
28,0,0
29,2,-2.7027027027
30,2,-1.0810810811
31,2,-1.5015015015
32,2,-15.5043848998
33,2,-1.0810810811
34,2,-1.0810810811
35,2,-1.0810810811
36,2,-1.9719558837
37,2,-3.0477534249
38,2,-1.0810810811
39,2,-2.7027027027
40,2,-1.5015015015
41,2,-14.1141141141
42,2,-1.0810810811
43,2,-1.0810810811
44,2,-1.0810810811
45,2,-100
46,2,-1.0810810811
47,2,-1.0810810811
48,2,-7.1176729215
49,2,-1.0810810811
50,2,-11.665447381400002
51,2,-1.0810810811
52,2,-100
53,2,-1.0810810811
54,2,-14.1141141141
55,2,-1.0810810811
56,2,-6.524582993699999
57,2,-1.5015015015
58,2,-1.0810810811
59,2,-1.0810810811
60,2,-2.7027027027
61,2,-1.0810810811
62,2,-12.8235615843
63,2,-15.0597111593
64,2,-15.716191520099999
65,2,-1.0810810811
66,2,-14.103110483300002
67,2,-15.0840635892
68,2,-16.7060785766
69,2,-1.5492104383
70,2,-17.2346048159
71,2,-1.0810810811
72,2,-16.3415326421
73,2,-4.035411380200002
74,2,-2.7027027027
75,2,-1.0810810811
76,2,-1.0810810811
77,2,-1.5015015015
78,2,-1.0810810811
79,1,-120
80,2,-1.0810810811
81,0,0
82,2,-2.7027027027
83,2,-1.0810810811
84,1,-76.79066666669999
85,2,-1.0810810811
86,1,-100
87,2,-14.1141141141
88,2,-11.5068060586
89,2,-12.5679112574
90,2,-1.0810810811
91,2,-1.0810810811
92,2,-1.5015015015
93,2,-1.0810810811
94,2,-1.0810810811
95,2,-14.1141141141
96,2,-1.0810810811
97,2,-1.0810810811
98,2,-1.2159686828
99,2,-1.0810810811
100,2,-1.0810810811
101,2,-1.0810810811
102,2,-1.5015015015
103,2,-1.0810810811
104,2,-8.5512420418
105,2,-10.9438872572
106,2,-11.930694627900001
107,1,-20
108,2,-13.3111768282
109,2,-8.3358736091
110,0,0
111,2,-10.542114841
112,2,-1.0810810811
113,2,-2.0821359416
114,2,-1.0810810811
115,2,-1.0810810811
116,2,-3.0441059203
117,2,-2.7027027027
118,2,-1.0810810811
119,2,-1.5015015015
120,2,-1.0810810811
121,2,-1.7811727788000014
122,2,-1.0810810811
123,2,-14.1141141141
124,2,-1.0810810811
125,2,-1.0810810811
