Step,APP,Action,Reward
258,0,1,-120
259,0,1,-100
260,2,1,-100
261,0,2,-1.0810810811
262,1,0,-150
263,4,0,-120
264,0,1,-120
265,0,0,-120
266,0,2,-1.0810810811
267,2,2,-14.1141141141
268,0,2,-1.0810810811
269,0,1,-120
270,0,1,-20
271,5,2,-1.5015015015
272,0,2,-10.4969537081
273,2,0,-150
274,4,0,-120
275,0,2,-1.0810810811
276,0,2,-1.0810810811
277,4,2,-13.5936568021
278,0,1,-120
279,0,2,-9.4808469405
280,5,2,-14.6191242554
281,0,2,-1.0810810811
282,0,2,-1.0810810811
283,0,1,-20
284,5,2,-1.7086700788
285,1,2,-10.8108108108
286,0,1,-138.80761458460012
287,4,1,-120
288,0,0,-120
289,0,2,-1.0810810811
290,0,0,-120
291,0,2,-1.0810810811
292,4,2,-2.7027027027
293,2,0,-120
294,0,0,-136.7652666667
295,3,0,-93.3643333334
296,0,2,-1.0810810811
297,0,0,-120
298,0,2,-1.0810810811
299,0,2,-1.0810810811
300,0,2,-1.9372412332
301,5,1,-200
302,3,0,-10
303,1,1,-10
304,0,0,-136.7652666667
305,4,2,-2.7027027027
306,0,2,-9.2614889566
307,0,2,-3.4356380418
308,0,2,-3.9751231393
309,0,1,-120
310,0,2,-1.0810810811
311,0,0,-120
312,0,1,-120
313,0,2,-1.0810810811
314,5,1,-20
315,5,1,-10
316,1,1,-10
317,0,2,-2.8127987017000002
318,1,0,-100
319,2,2,-14.1141141141
320,0,2,-1.0810810811
321,5,2,-1.5015015015
322,4,1,-120
323,0,1,-20
324,5,2,-2.5511106515
325,0,2,-1.0810810811
326,0,1,-130.1456057078001
327,4,2,-2.7027027027
328,0,0,-20
329,5,2,-1.5015015015
330,1,2,-10.8108108108
331,0,2,-2.1281927106
332,4,2,-2.7027027027
333,1,0,-120
334,0,2,-2.0538703857
335,2,2,-14.1141141141
336,5,0,-120
337,0,2,-2.2411095124999996
338,4,0,-100
339,2,2,-100
340,0,1,-120
341,0,2,-1.0810810811
342,5,2,-8.3049636311
343,0,0,-120
344,0,0,-120
345,0,1,-120
346,0,2,-1.0810810811
347,0,1,-120
348,0,0,-10
349,1,0,-10
350,1,1,-10
351,4,0,-120
352,0,2,-1.0810810811
353,0,1,-120
354,0,2,-1.0810810811
355,0,0,-10
356,1,1,-10
357,4,2,-9.426753712099998
358,4,2,-2.7027027027
359,0,2,-1.0810810811
360,0,2,-3.227908759199999
361,0,2,-1.0810810811
362,0,2,-1.0810810811
363,0,0,-120
364,0,2,-1.0810810811
365,0,2,-1.0810810811
366,0,1,-117.26278191770012
367,0,2,-1.0810810811
368,0,2,-1.0810810811
369,1,2,-11.8298490273
370,4,1,-120
371,0,1,-20
372,5,2,-1.5015015015
373,4,2,-2.7027027027
374,0,1,-119.71442825780002
375,0,0,-120
376,0,1,-119.50491961660003
377,0,2,-1.0810810811
378,0,1,-20
379,5,2,-1.5015015015
380,1,2,-14.095996180799997
381,4,0,-120
382,0,1,-116.82885427520006
383,4,2,-2.7027027027
384,0,1,-115.58632089440002
385,0,1,-115.41557738400004
386,0,2,-1.0810810811
387,0,1,-114.39654124100002
388,0,2,-11.825319900199998
389,3,2,-0.3003003003
390,3,0,-93.3643333334
391,4,2,-2.7027027027
392,0,2,-5.137135354000001
393,5,2,-1.5015015015
394,0,0,-136.7652666667
395,4,2,-2.7027027027
396,1,2,-10
397,1,0,-100
398,2,2,-14.1141141141
399,0,1,-20
400,5,0,-120
401,0,0,-120
402,0,1,-110.09294179449998
403,0,0,-136.7652666667
404,4,0,-120
405,0,2,-1.0810810811
406,0,1,-109.90027250850002
407,0,1,-109.98294838069998
408,0,2,-1.0810810811
409,0,0,-100
410,2,2,-14.1141141141
411,0,0,-136.7652666667
412,3,2,-0.3003003003
413,0,2,-1.8856257528000009
414,4,0,-150
415,4,1,-100
416,2,1,-100
417,0,2,-1.0810810811
418,0,0,-120
419,0,1,-108.01066800639998
420,0,2,-1.0810810811
421,0,2,-2.0343186935
422,0,0,-120
423,0,2,-5.2159380418999985
424,4,2,-2.7027027027
425,3,2,-5.238751268299999
426,4,1,-20
427,5,2,-1.5015015015
428,1,2,-15.393933600799999
429,0,1,-100
430,2,2,-14.1141141141
431,4,2,-2.7027027027
432,0,2,-1.0810810811
433,0,2,-1.0810810811
434,0,1,-109.99854025289989
435,0,2,-4.021687564899999
436,1,2,-10.8108108108
437,0,1,-109.33094091919992
438,0,2,-4.2897045570999985
439,0,2,-1.0810810811
440,0,2,-1.0810810811
441,4,2,-2.7027027027
442,4,2,-2.7027027027
443,0,1,-20
444,5,2,-1.5015015015
445,4,2,-13.4396774116
446,0,2,-1.0810810811
447,0,2,-1.0810810811
448,1,1,-10
449,0,2,-11.508124124299998
450,4,0,-120
451,0,1,-10
452,1,1,-10
453,0,0,-120
454,0,2,-1.0810810811
455,5,2,-1.5015015015
456,0,2,-1.0810810811
457,2,1,-100
458,1,1,-10
459,4,0,-120
460,0,0,-120
461,0,1,-104.38528567169993
462,0,1,-104.19953272569992
463,0,2,-3.7395354110000003
464,0,1,-104.12668006169994
465,0,2,-1.0810810811
466,5,2,-2.5627322647
467,0,2,-5.6262515532999995
468,0,2,-1.0810810811
469,4,0,-120
470,0,0,-120
471,0,2,-1.0810810811
472,5,1,-120
473,0,2,-1.0810810811
474,4,2,-2.7027027027
475,4,2,-2.7027027027
476,0,2,-7.2445104629
477,0,0,-120
478,0,2,-1.0810810811
479,5,0,-120
480,0,0,-10
481,1,1,-10
482,2,2,-19.1771821567
483,0,2,-1.6888545947
484,0,2,-1.0810810811
485,0,1,-100.66713829479994
486,4,2,-8.8129620717
487,0,1,-20
488,5,1,-150
489,4,2,-2.7027027027
490,0,2,-1.0810810811
491,1,2,-10.8108108108
492,5,2,-1.5015015015
493,4,2,-2.7027027027
494,0,2,-1.0810810811
495,4,2,-2.7027027027
496,0,2,-1.0810810811
497,0,1,-10
498,1,2,-11.124671035
499,0,2,-1.0810810811
500,1,0,-120
501,0,1,-20
502,5,2,-13.807166162299998
503,2,2,-14.3218125437
504,3,2,-10
505,1,1,-10
506,5,1,-10
507,1,2,-10
508,4,0,-150
509,4,0,-120
510,0,1,-93.19712193199996
511,0,2,-1.0810810811
512,0,0,-120
513,0,1,-90.15284119279997
514,0,0,-136.7652666667
515,4,0,-100
516,2,0,-120
517,0,2,-1.0810810811
518,0,0,-10
519,1,0,-200
520,3,1,-88.31718404769998
521,0,1,-20
522,5,0,-10
523,1,2,-10.8108108108
524,0,2,-11.8835178609
525,0,2,-1.0810810811
526,5,1,-20
527,5,1,-20
528,5,2,-2.029986299
529,0,2,-2.7825215387
530,4,2,-5.3437051119
531,0,2,-1.0810810811
532,4,2,-2.7027027027
533,0,1,-20
534,5,1,-120
535,0,2,-1.0810810811
536,5,2,-1.5015015015
537,3,2,-0.3003003003
538,0,1,-10
539,1,2,-10.8108108108
540,0,2,-1.5643394891
541,1,2,-13.566980042799997
542,0,2,-9.092453804500002
543,0,0,-120
544,0,0,-136.7652666667
545,4,0,-120
546,0,2,-1.0810810811
547,4,0,-120
548,0,1,-95.48817508230002
549,4,1,-120
550,0,1,-94.5977237445
551,2,2,-10
552,1,1,-10
553,0,0,-120
554,0,2,-1.0810810811
555,0,1,-93.4712185617
556,0,2,-1.0810810811
557,1,2,-11.3696794711
558,0,2,-1.0810810811
559,2,0,-120
560,0,2,-1.0810810811
561,0,0,-120
562,0,2,-8.940623827099998
563,0,2,-1.0810810811
564,0,1,-91.1804050469
565,0,2,-1.3334400817
566,3,2,-0.3003003003
567,5,2,-9.9271637719
568,2,1,-100
569,4,2,-2.7027027027
570,3,2,-0.3003003003
571,0,1,-89.39844093069999
572,0,2,-1.0810810811
573,0,2,-2.9941272127000005
574,0,2,-1.0810810811
575,0,2,-1.0810810811
576,0,2,-1.0810810811
577,1,1,-10
578,0,2,-1.0810810811
579,1,2,-11.1961376512
580,0,2,-7.189726680599999
581,0,2,-1.0810810811
582,0,2,-1.0810810811
583,0,0,-120
584,0,1,-85.3640558596
585,0,2,-10.879296269900001
586,5,0,-120
587,0,1,-84.93600170260001
588,2,2,-14.1141141141
589,0,0,-10
590,1,0,-20
591,5,2,-11.6574125075
592,5,1,-120
593,0,2,-1.0810810811
594,0,2,-5.755230974299998
595,0,2,-1.0810810811
596,0,0,-120
597,0,2,-1.0810810811
598,2,2,-10
599,1,0,-100
600,2,1,-100
601,1,1,-10
602,1,0,-150
603,4,2,-11.678437582399999
604,2,1,-100
605,4,1,-120
606,0,2,-1.0810810811
607,1,1,-10
608,5,1,-20
609,5,2,-1.5015015015
610,0,2,-1.0810810811
611,0,1,-10
612,1,2,-10.8108108108
613,0,1,-88.83341050460004
614,0,1,-88.82252662770006
615,4,2,-10
616,1,1,-10
617,0,1,-88.50451354340007
618,0,2,-1.0810810811
619,4,2,-9.9032163067
620,5,2,-1.5015015015
621,0,1,-86.70770349500006
622,0,0,-100
623,2,2,-19.2230229967
624,0,1,-85.58886457860007
625,0,0,-120
626,0,2,-1.0810810811
627,4,2,-10.6495596589
628,0,1,-84.58369703760007
629,0,1,-84.4129620616001
630,0,2,-1.0810810811
631,4,1,-20
632,5,1,-120
633,0,2,-1.0810810811
634,4,0,-120
635,0,0,-120
636,0,2,-1.0810810811
637,5,1,-120
638,0,2,-1.0810810811
639,1,0,-120
640,0,1,-20
641,5,2,-1.5015015015
642,4,1,-120
643,0,2,-1.0810810811
644,1,2,-11.1837973877
645,0,1,-20
646,5,1,-120
647,0,0,-120
648,0,2,-1.178037394
649,1,0,-150
650,4,2,-2.7027027027
