Step,APP,Action,Reward
0,0,2,-10.8108108108
1,0,2,-10.8108108108
2,0,1,-76.79066666669999
3,0,0,-136.7652666667
4,0,0,-136.7652666667
5,0,1,-76.79066666669999
6,0,1,-76.79066666669999
7,0,0,-136.7652666667
8,0,0,-136.7652666667
9,0,1,-76.79066666669999
10,0,1,-76.79066666669999
11,0,0,-136.7652666667
12,4,1,-160.97066666670003
13,0,1,-76.79066666669999
14,4,1,-160.97066666670003
15,0,2,-10.8108108108
16,0,0,-136.7652666667
17,5,0,-226.8056666666
18,0,0,-136.7652666667
19,0,1,-76.79066666669999
20,0,1,-76.79066666669999
21,0,0,-136.7652666667
22,0,2,-10.8108108108
23,0,1,-76.79066666669999
24,3,2,-7.840220151599999
25,0,2,-10.8108108108
26,3,1,-73.0586335683
27,0,0,-136.7652666667
28,0,1,-76.79066666669999
29,0,0,-136.7652666667
30,5,2,-15.015015015
31,0,2,-10.8108108108
32,0,0,-136.7652666667
33,0,0,-136.7652666667
34,2,0,-911.23
35,0,0,-136.7652666667
36,4,2,-1500
37,0,1,-76.79066666669999
38,4,1,-160.97066666670003
39,0,1,-76.79066666669999
40,0,2,-17.6854565824
41,0,1,-76.79066666669999
42,4,1,-160.97066666670003
43,2,0,-100
44,1,2,-100
45,0,1,-76.79066666669999
46,0,0,-136.7652666667
47,0,0,-136.7652666667
48,0,2,-10.8108108108
49,0,0,-136.7652666667
50,0,0,-136.7652666667
51,4,0,-220.9053066667
52,4,1,-160.97066666670003
53,0,2,-10.8108108108
54,4,2,-1500
55,0,1,-76.79066666669999
56,0,0,-136.7652666667
57,0,0,-136.7652666667
58,0,1,-76.79066666669999
59,0,1,-76.79066666669999
60,2,0,-911.23
61,0,2,-18.126476809699998
62,0,0,-136.7652666667
63,0,1,-76.79066666669999
64,0,2,-10.8108108108
65,0,0,-136.7652666667
66,5,1,-166.8373333333
67,0,0,-136.7652666667
68,0,0,-136.7652666667
69,0,1,-76.79066666669999
70,0,2,-19.8164215766
71,0,2,-14.6709955762
72,0,1,-76.79066666669999
73,5,2,-15.015015015
74,0,1,-76.79066666669999
75,0,0,-136.7652666667
76,0,0,-136.7652666667
77,4,1,-160.97066666670003
78,0,1,-76.79066666669999
79,0,1,-76.79066666669999
80,0,2,-16.47279365
81,5,1,-166.8373333333
82,0,0,-136.7652666667
83,2,0,-911.23
84,0,1,-95.8635880805
85,0,2,-1200
86,0,0,-136.7652666667
87,0,1,-95.07388417779998
88,0,1,-94.967937688
89,5,1,-166.8373333333
90,4,1,-160.97066666670003
91,0,1,-100.07469850039999
92,4,1,-160.97066666670003
93,0,2,-10.8108108108
94,0,1,-146.17568780929997
95,2,2,-1000
96,0,2,-10.8108108108
97,2,0,-911.23
98,0,2,-10.8108108108
99,0,2,-19.137157162199998
100,0,1,-144.66919022069996
101,0,2,-10.8108108108
102,0,2,-10.8108108108
103,0,1,-143.77236559109997
104,0,2,-10.8108108108
105,0,1,-142.88003404829996
106,0,2,-1200
107,0,0,-136.7652666667
108,0,1,-141.31509581379996
109,0,0,-136.7652666667
110,0,0,-136.7652666667
111,5,0,-226.8056666666
112,0,2,-18.2067465016
113,0,0,-136.7652666667
114,0,2,-18.607597868699997
115,0,0,-136.7652666667
116,2,1,-1000
117,5,0,-226.8056666666
118,0,2,-12.834497418699996
119,0,1,-139.49943374289998
120,0,1,-138.46024251469998
121,0,1,-138.46793646009996
122,0,1,-138.40233823619997
123,0,0,-136.7652666667
124,4,2,-1500
125,0,2,-10.8108108108
126,2,1,-1000
127,0,2,-10.8108108108
128,0,0,-136.7652666667
129,4,1,-160.97066666670003
130,0,1,-136.14991436909995
131,4,0,-220.9053066667
132,0,1,-136.22409387619996
133,0,1,-134.38213198429997
134,0,2,-10.8108108108
135,0,1,-133.93297544419997
136,0,1,-133.6463738373
137,0,1,-133.52776358999998
138,0,1,-133.4824117133
139,0,1,-132.7135691589
140,0,2,-15.4249460618
141,0,0,-136.7652666667
142,0,0,-136.7652666667
143,5,2,-15.015015015
144,5,0,-226.8056666666
145,0,0,-136.7652666667
146,0,0,-136.7652666667
147,0,1,-130.02357166369998
148,0,0,-136.7652666667
149,2,0,-911.23
150,0,1,-129.70459548079998
151,2,0,-911.23
152,0,1,-129.2524774396
153,0,0,-136.7652666667
154,2,2,-1000
155,2,0,-911.23
156,0,1,-128.57245967929998
157,0,1,-128.55519645799998
158,0,1,-128.6358609929
159,0,2,-1200
160,0,1,-128.5024722365
161,5,0,-226.8056666666
162,0,1,-128.1184904842
163,0,2,-10.8108108108
164,2,0,-911.23
165,0,0,-136.7652666667
166,0,1,-126.59676356850002
167,0,0,-136.7652666667
168,0,2,-10.8108108108
169,0,1,-124.59159756860001
170,0,2,-10.8108108108
171,5,2,-200
172,0,1,-122.53392780660002
173,0,1,-122.5745205128
174,0,2,-10.8108108108
175,0,0,-136.7652666667
176,0,0,-136.7652666667
177,0,2,-10.8108108108
178,4,1,-160.97066666670003
179,5,1,-188.39445542009986
180,0,1,-121.65800259639988
181,0,2,-10.8108108108
182,0,0,-136.7652666667
183,0,1,-121.05744230379986
184,0,1,-121.15478943119987
185,0,0,-136.7652666667
186,0,0,-136.7652666667
187,0,0,-136.7652666667
188,0,1,-119.51574934719989
189,0,1,-119.47471689609989
190,4,1,-160.97066666670003
191,0,1,-119.99431588169989
192,5,1,-186.70771974359988
193,0,0,-136.7652666667
194,0,2,-10.8108108108
195,0,1,-119.24962547919986
196,0,1,-119.25115232949989
197,0,1,-119.15074078129987
198,0,2,-10.8108108108
199,0,0,-136.7652666667
200,0,1,-118.59091262749988
201,5,0,-226.8056666666
202,4,1,-160.97066666670003
203,4,2,-1500
204,0,0,-136.7652666667
205,0,1,-115.73252661539985
206,0,2,-11.410086909699999
207,4,1,-160.97066666670003
208,0,2,-10.8108108108
209,0,0,-136.7652666667
210,0,0,-136.7652666667
211,2,1,-1000
212,2,1,-1000
213,0,0,-136.7652666667
214,4,2,-1500
215,0,2,-10.8108108108
216,0,0,-136.7652666667
217,0,2,-10.8108108108
218,0,1,-121.12565513340002
219,0,0,-136.7652666667
220,0,1,-120.06629364510002
221,2,0,-911.23
222,4,0,-200
223,5,2,-15.015015015
224,0,0,-136.7652666667
225,2,0,-911.23
226,0,0,-136.7652666667
227,0,1,-116.04246197540004
228,0,2,-10.8108108108
229,0,2,-10.8108108108
230,0,1,-115.63128549770005
231,0,0,-136.7652666667
232,0,0,-136.7652666667
233,0,0,-136.7652666667
234,0,2,-10.939217720999999
235,5,1,-181.04212472860002
236,2,0,-911.23
237,0,1,-113.66337139170003
238,4,2,-1500
239,0,2,-1200
240,5,2,-15.015015015
241,0,2,-1200
242,0,1,-112.77272567650004
243,0,0,-136.7652666667
244,2,0,-911.23
245,0,1,-111.78462467220004
246,2,0,-911.23
